subject_nr,block,session,congruency_transition_type,congruency_type,correct,response_time,task_transition_type,task_type,response
1,1,lowswitch,,incongruent,0,1482.973799999803,,parity,None
1,1,lowswitch,congruency-switch,congruent,1,706.7057000002825,task-switch,magnitude,a
1,1,lowswitch,congruency-repetition,congruent,1,855.6104999999517,task-switch,parity,a
1,1,lowswitch,congruency-switch,incongruent,1,867.8947000000626,task-repetition,parity,a
1,1,lowswitch,congruency-repetition,incongruent,1,1078.9412000002342,task-switch,magnitude,a
1,1,lowswitch,congruency-repetition,incongruent,1,819.4644999993035,task-repetition,magnitude,a
1,1,lowswitch,congruency-repetition,incongruent,0,1481.38300000038,task-switch,parity,None
1,1,lowswitch,congruency-switch,congruent,0,1483.3642000006512,task-repetition,parity,None
1,1,lowswitch,congruency-repetition,congruent,1,804.7672999999486,task-repetition,parity,a
1,1,lowswitch,congruency-repetition,congruent,1,847.6290999995545,task-repetition,parity,a
1,1,lowswitch,congruency-repetition,congruent,0,1483.1772000007334,task-repetition,parity,None
1,1,lowswitch,congruency-switch,incongruent,1,715.3710000002757,task-switch,magnitude,a
1,1,lowswitch,congruency-repetition,incongruent,1,857.7032000003383,task-repetition,magnitude,a
1,1,lowswitch,congruency-repetition,incongruent,1,776.0467999996617,task-repetition,magnitude,a
1,1,lowswitch,congruency-switch,congruent,0,1482.747099999804,task-repetition,magnitude,None
1,1,lowswitch,congruency-repetition,congruent,1,706.1763999997638,task-repetition,magnitude,a
1,1,lowswitch,congruency-switch,incongruent,0,1482.2271000002509,task-switch,parity,None
1,1,lowswitch,congruency-switch,incongruent,1,836.3957000002264,task-switch,parity,num_6
1,1,lowswitch,congruency-switch,congruent,1,520.7853000001049,task-repetition,parity,num_6
1,1,lowswitch,congruency-switch,incongruent,1,726.2016999991611,task-repetition,parity,a
1,1,lowswitch,congruency-repetition,incongruent,1,562.210699999705,task-repetition,parity,a
1,1,lowswitch,congruency-repetition,incongruent,1,1088.3259000000544,task-repetition,parity,num_6
1,1,lowswitch,congruency-repetition,incongruent,1,595.726200000383,task-repetition,parity,num_6
1,1,lowswitch,congruency-switch,congruent,1,685.5249999999069,task-repetition,parity,num_6
1,1,lowswitch,congruency-repetition,congruent,1,556.1962999999523,task-switch,magnitude,a
1,1,lowswitch,congruency-repetition,congruent,1,464.5759000005201,task-repetition,magnitude,num_6
1,1,lowswitch,congruency-repetition,congruent,1,932.9645999995993,task-repetition,magnitude,a
1,1,lowswitch,congruency-switch,incongruent,1,1209.990899999626,task-repetition,magnitude,a
1,1,lowswitch,congruency-switch,congruent,1,879.1916999998504,task-repetition,magnitude,a
1,1,lowswitch,congruency-switch,incongruent,1,778.8551000002773,task-repetition,magnitude,a
1,1,lowswitch,congruency-switch,congruent,1,1095.197900000494,task-repetition,magnitude,num_6
1,1,lowswitch,congruency-switch,incongruent,1,883.0520999999718,task-repetition,magnitude,a
1,1,lowswitch,congruency-switch,congruent,1,511.91620000032714,task-switch,parity,num_6
1,1,lowswitch,congruency-switch,incongruent,1,670.4939000001177,task-repetition,parity,a
1,2,lowswitch,,congruent,1,603.3175000003539,,magnitude,a
1,2,lowswitch,congruency-repetition,congruent,1,504.21230000024667,task-repetition,magnitude,a
1,2,lowswitch,congruency-switch,incongruent,1,630.5584000004454,task-switch,parity,a
1,2,lowswitch,congruency-repetition,incongruent,1,602.5043999999763,task-repetition,parity,num_6
1,2,lowswitch,congruency-switch,congruent,1,696.5594000001437,task-repetition,parity,a
1,2,lowswitch,congruency-repetition,congruent,1,1109.3001000001095,task-repetition,parity,num_6
1,2,lowswitch,congruency-repetition,congruent,1,552.9242000002414,task-repetition,parity,a
